augmentation,job_family,occupation_title,automation
0.09,Office support,Correspondence clerks,0.86
0.28,"Arts, sports and media",Interpreters and translators,0.8
0.06,Office support,"Court, municipal, and license clerks",0.76
0.12,Health care,Medical transcriptionists,0.74
0.3,Sales,Telemarketers,0.73
0.26,Office support,Order clerks,0.72
0.32,Office support,Word processors and typists,0.72
0,"Life, physical, and social science",Climate change policy analysts,0.72
0,Business and finance,Sustainability specialists,0.71
0.1,Office support,Loan interviewers and clerks,0.7
0.24,"Arts, sports and media",Writers and authors,0.7
0.09,Office support,Payroll and timekeeping clerks,0.7
0.13,Office support,Bill and account collectors,0.7
0.12,Computer and math,Software quality assurance analysts and testers,0.7
0.26,Business and finance,Project management specialists,0.7
0.17,Business and finance,Credit counselors,0.69
0.33,"Arts, sports and media","Poets, lyricists and creative writers",0.69
0.19,Office support,"Human resources assistants, except payroll and timekeeping",0.68
0.19,Office support,"Bookkeeping, accounting, and auditing clerks",0.68
0.14,Office support,Insurance claims and policy processing clerks,0.68
0.29,Office support,Executive secretaries and executive administrative assistants,0.68
0.33,Educational instruction,Tutors,0.67
0.32,Sales,"Sales representatives of services, except advertising, insurance, financial services, and travel",0.67
0.08,Computer and math,Clinical data managers,0.67
0.38,Office support,Proofreaders and copy markers,0.66
0.23,Services and other,Health education specialists,0.66
0,Computer and math,Data warehousing specialists,0.66
0.31,Office support,Medical secretaries and administrative assistants,0.66
0.17,Business and finance,Training and development specialists,0.66
0.18,Office support,Procurement clerks,0.66
0.19,Computer and math,Web developers,0.65
0.13,"Life, physical, and social science",Physicists,0.65
0.07,Office support,Freight forwarders,0.65
0.28,Office support,"Interviewers, except eligibility and loan",0.65
0.44,Computer and math,Computer programmers,0.64
0,Computer and math,Mathematicians,0.64
0.43,Office support,Receptionists and information clerks,0.64
0,Computer and math,Business intelligence analysts,0.64
0.18,Computer and math,Information technology project managers,0.64
0.13,Health care,Preventive medicine physicians,0.63
0,"Life, physical, and social science",Environmental economists,0.63
0.24,Sales,Advertising sales agents,0.63
0.3,Office support,"Credit authorizers, checkers, and clerks",0.63
0.15,Management,Training and development managers,0.63
0.07,Computer and math,Biostatisticians,0.62
0.06,Computer and math,Web and digital interface designers,0.62
0.16,Business and finance,Tax preparers,0.62
0.31,Sales,"Sales representatives, wholesale and manufacturing, technical and scientific products",0.62
0.32,Office support,"Secretaries and administrative assistants, except legal, medical, and executive",0.62
0.15,Office support,"Dispatchers, except police, fire, and ambulance",0.62
0.05,Business and finance,Regulatory affairs specialists,0.62
0.1,Computer and math,Web administrators,0.61
0.3,Educational instruction,Instructional coordinators,0.61
0.17,Computer and math,Penetration testers,0.61
0.29,Management,Clinical research coordinators,0.61
0.36,"Arts, sports and media",Public relations specialists,0.61
0.3,Office support,"Production, planning, and expediting clerks",0.6
0.08,Management,Regulatory affairs managers,0.6
0.41,Office support,Statistical assistants,0.6
0.45,Office support,"Office clerks, general",0.6
0.1,Computer and math,Database architects,0.6
0.13,Management,Wind energy development managers,0.6
0,Business and finance,Business continuity planners,0.6
0.2,Legal,"Title examiners, abstractors, and searchers",0.59
0.18,"Life, physical, and social science",Historians,0.59
0.22,Health care,Health information technologists and medical registrars,0.59
0.29,Office support,"Eligibility interviewers, government programs",0.59
0.34,Sales,Solar sales representatives and assessors,0.59
0.16,Computer and math,Document management specialists,0.59
0.11,Computer and math,Blockchain engineers,0.59
0.4,Office support,"Shipping, receiving, and inventory clerks",0.59
0.32,Office support,Brokerage clerks,0.59
0.24,Business and finance,Credit analysts,0.58
0.3,Engineering,Environmental engineers,0.58
0.26,Business and finance,Human resources specialists,0.58
0.26,Sales,Sales engineers,0.58
0.12,Management,Chief sustainability officers,0.58
0.23,Management,Spa managers,0.58
0.21,Business and finance,Loan officers,0.58
0.25,Business and finance,Fundraisers,0.58
0,Computer and math,Statisticians,0.57
0,Computer and math,Database administrators,0.57
0,Business and finance,Financial risk specialists,0.57
0.2,"Life, physical, and social science",Survey researchers,0.57
0.19,Computer and math,Bioinformatics technicians,0.57
0.14,Office support,Customer service representatives,0.57
0.46,"Arts, sports and media",Court reporters and simultaneous captioners,0.57
0.24,Computer and math,Computer systems analysts,0.57
0.46,Sales,Counter and rental clerks,0.57
0.05,Business and finance,Logistics analysts,0.57
0,Computer and math,Information security engineers,0.57
0.42,Office support,Reservation and transportation ticket agents and travel clerks,0.57
0,Business and finance,Insurance underwriters,0.57
0.38,Sales,Travel agents,0.56
0.11,Health care,Medical records specialists,0.56
0.38,Management,Fundraising managers,0.56
0.19,Sales,"Securities, commodities, and financial services sales agents",0.56
0.12,Computer and math,Data scientists,0.56
0.12,"Life, physical, and social science",Political scientists,0.56
0.16,Engineering,Bioengineers and biomedical engineers,0.56
0.12,Management,Compliance managers,0.56
0.16,"Life, physical, and social science",Economists,0.56
0.04,Business and finance,Search marketing strategists,0.56
0.38,Management,Public relations managers,0.55
0.37,"Life, physical, and social science",Social science research assistants,0.55
0.22,Management,Purchasing managers,0.55
0.26,Computer and math,Digital forensics analysts,0.55
0.12,Business and finance,Budget analysts,0.55
0.39,Office support,First-line supervisors of office and administrative support workers,0.55
0.21,Health care,Genetic counselors,0.55
0.31,Business and finance,Labor relations specialists,0.55
0.37,Business and finance,"Meeting, convention, and event planners",0.54
0.34,Business and finance,Online merchants,0.54
0.41,"Arts, sports and media","News analysts, reporters, and journalists",0.54
0.19,"Life, physical, and social science",Epidemiologists,0.54
0.39,"Production, construction and transportation",Recycling coordinators,0.54
0.25,Business and finance,Personal financial advisors,0.54
0.29,Business and finance,Customs brokers,0.54
0.26,"Life, physical, and social science",Atmospheric and space scientists,0.54
0.16,"Life, physical, and social science",Transportation planners,0.53
0.42,Office support,Legal secretaries and administrative assistants,0.53
0.45,Legal,Judicial law clerks,0.53
0.17,"Life, physical, and social science",Bioinformatics scientists,0.53
0.21,Management,Brownfield redevelopment specialists and site managers,0.53
0.41,Educational instruction,Librarians and media collections specialists,0.53
0.4,"Arts, sports and media",Editors,0.53
0.21,Engineering,Manufacturing engineers,0.53
0.46,"Arts, sports and media",Broadcast announcers and radio disc jockeys,0.53
0.32,Management,Wind energy operations managers,0.53
0.29,Engineering,Validation engineers,0.53
0.45,Educational instruction,"Criminal justice and law enforcement teachers, postsecondary",0.53
0.09,Computer and math,Health informatics specialists,0.53
0.04,"Life, physical, and social science",Industrial ecologists,0.53
0.24,Business and finance,Market research analysts and marketing specialists,0.52
0.25,Engineering,"Energy engineers, except wind and solar",0.52
0.41,Services and other,Community health workers,0.52
0.15,"Life, physical, and social science",Animal scientists,0.52
0.25,Business and finance,Logisticians,0.52
0.39,Health care,Speech-language pathology assistants,0.52
0.43,Office support,Telephone operators,0.52
0.29,Computer and math,Computer systems engineers/architects,0.52
0.31,Business and finance,"Purchasing agents, except wholesale, retail, and farm products",0.52
0.24,Computer and math,Operations research analysts,0.52
0.46,Educational instruction,"Forestry and conservation science teachers, postsecondary",0.51
0.4,"Life, physical, and social science",Industrial-organizational psychologists,0.51
0.3,Business and finance,Accountants and auditors,0.51
0.41,Services and other,Concierges,0.51
0.31,"Arts, sports and media",Technical writers,0.51
0.42,Services and other,"Directors, religious activities and education",0.51
0.38,Business and finance,Equal opportunity representatives and officers,0.51
0.16,"Life, physical, and social science","Environmental scientists and specialists, including health",0.5
0.34,Computer and math,Telecommunications engineering specialists,0.5
0.48,Business and finance,Compliance officers,0.5
0.32,Business and finance,"Tax examiners and collectors, and revenue agents",0.5
0.18,Business and finance,Financial quantitative analysts,0.5
0.47,Educational instruction,"Library science teachers, postsecondary",0.5
0.2,Computer and math,Actuaries,0.5
0.25,Business and finance,Cost estimators,0.5
0.27,Computer and math,Information security analysts,0.5
0.46,Management,"Entertainment and recreation managers, except gambling",0.5
0.39,Management,Gambling managers,0.5
0.45,Health care,Nurse midwives,0.5
0.4,Business and finance,Management analysts,0.5
0.31,Business and finance,Environmental compliance inspectors,0.5
0.47,Educational instruction,"English language and literature teachers, postsecondary",0.49
0.23,Services and other,Intelligence analysts,0.49
0.34,Business and finance,"Compensation, benefits, and job analysis specialists",0.49
0.45,Educational instruction,"Philosophy and religion teachers, postsecondary",0.49
0.49,Computer and math,Computer user support specialists,0.49
0.33,Computer and math,Computer network architects,0.49
